#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0   124106    0.309    3.364    0.792   308636    2.994
       1    67475    0.168    2.739    0.424   154387    2.707
       2    37956    0.095    2.507    0.398    25058    4.422
       3    33870    0.084    2.559    0.370   213692    2.968
       4    20593    0.051    2.303    0.384    91002    3.377
       5    12111    0.030    2.297    0.401   236152    3.392
       6    10493    0.026    2.293    0.373   136763    3.061
       7     4576    0.011    2.101    0.282    99339    2.811
       8     3491    0.009    1.966    0.264   225757    2.918
